FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"long and rectangular, big rectangle","big rectangle, square-ish rectangle","big box, rectangle, with no cover, big long rectangle",big square
Card2,"small, with really big handle, really big top",really big handle,with really big handle,with big handle
Card3,"squiggly weaved, squiggly weave, round","round, squiggly weave, with handle",squiggly weave,squiggly weave
Card4,"doesn't have handle, big bowl, big round bowl","round, big, without anything, just open","big, open, round, with no cover, no handle",completely round without cover
Card5,"red ribbon, square-ish but round on top",weaved with red ribbon,red ribbon,with red ribbon
Card6,"golden color, you could see green in it",gold with green in back,with green in back,with green background
Card7,"has cover, gold, doesn't have handle, cover with little knob in middle","golden with little knob in middle, with cover",knob with cover,"with knob, cover with knob"
Card8,triangle bottom,triangle bottom,triangle bottom,with triangle bottom
Card9,"cover plus has handle, round on bottom",round bottom and cover and handle,round with cover and handle,very round
Card10,with square bottom,"golden with lid on top, with handle, squarer bottom, with square bottom","square bottom with cover, taller than other one, has handle","rounder bottom, taller"
