FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"slight bird's eye view, looking into it, little chip on bottom right side of it, longer lengthwise, looks like somebody bit it or something, more or less golden, handle straight in middle, handles are up down","chip on bottom right, handle up down","wide, chip on bottom right, handle up down","handle up and down, widest"
Card2,"very small, with reddish and gold, handles going from left to right","handle left to right, small, reddish pattern on top of it","red pattern, cross stitching","red patches, red pattern"
Card3,"handles left to right, looks like bottom is dark if you could look inside it","handle, black bottom","black bottom, handle left to right",black bottom
Card4,"absolutely no handles, looks like bowl, open, one color","open, same color all around, big, light golden, no handles","open, same color throughout","open, same color throughout"
Card5,"very small, no handles, looks like it has red line going across middle of it","has red line going through middle of it, no cover, no handle","patch, red line",red line through middle
Card6,green patch,green patch,green patch,green patch
Card7,"two little small handles, cover on top of it","two small handles, cover, golden","small handles, cover, big, golden, little small thing in middle, little antenna thing","antenna middle, golden throughout, cover, small handles, one at ten, one at four, little thing on top"
Card8,"looks like purse, triangular, handle left to right","triangular shaped, with handle","triangular, point facing down",triangular
Card9,"handle, cover, ten o' clock to four o' clock","cover, handles are facing from ten o' clock to four o' clock","handle, ten o' clock to four o' clock, cover","ten o' clock to four o' clock, handle, cover"
Card10,"handle left to right, cover","handle, left to right, cover, bottom is straight, sides are curved, small","cover, handle, very thin handle, left to right, sides are curved, bottom is straight","sides curved, bottom straight, handle left to right"
