FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"beige, big, biggest",biggest,biggest,biggest
Card2,"on second row, fourth",all the way on right corner,one that you just picked up and put down,"same row, but all the way in your left hand corner"
Card3,third one is one on top of it,brownish,"one right on top of it, next one","same row that you just got that, on your right hand corner"
Card4,"fourth one is one right next to it, on left side",on your left hand corner,"all the way in front of you, on the corner of your left",in front of you
Card5,"in third row, towards your left, all the way upper corner","smallest, little bowl is in middle",in middle,on top of the one you just picked up
Card6,"all the way on your right, bottom","bowl, beige color","one on left corner of that one that you just picked up, left upper corner",on right hand side of the one you just picked up
Card7,with cover on it,has cover on it,has cover on it,Does that have cover on it?
Card8,triangle,triangle,triangle,triangle
Card9,has cover on it,all the way on left in front of you,has cover,the one right next to it
Card10,"all the way at the end, on your right hand",has cover on it,has cover on it,"third one, upper third row"
