FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"long, rectangle, longest one in the picture, square in shape, one handle in middle","""the first one we had"", long, with handle","rectangular, open, one handle","really long, open, looks rectangular, one handle in middle"
Card2,"very small, pyramidal shape, really big, circular looking handle, longest base from basket to handle","red lining, really big circular handle, one handle only","really big handle, red stitching along it","really long, big handle, round, red weaving"
Card3,"criss-crossing weaves, most open space in between each, circular handle","really wide cross-stitched, round handle","stitched, wide spaces in between","wide crosses, handle, a lot of space between the crosses"
Card4,"one of the biggest baskets in the picture, really stitched closely, crossing is really close, oval shaped, round shaped, no handles, very circular, very big, deep","open, very tightly stitched, no cover, no handles","open, stitched really tightly together, no handles, no cover","really big, without top, close stitching"
Card5,red ribbon around,red ribbon,"red ribbon, open, no handle","red ribbon, no top, no handle"
Card6,green lining in back,green lining in back,green lining on back,green lining
Card7,"cover, two handles on side, golden","two handles on each side, top, really golden looking","golden, top, two handles on sides","top, two handles on side, very golden looking"
Card8,heart shape purse looking thing,heart shaped,heart shaped,heart shape
Card9,"round bucket, cover, squarish handle","smaller, rounder, cover, looks like number five, one handle, square handle, round bucket","shorter version of number two, square handle","shorter version, square handle, top, rounder, perfect circle"
Card10,"long, vertical, one handle, cover, deep","last one we just had, really long, cover, only one handle","very deep, handle, cover","really long, deep, cover, one handle"
