FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"first basket is longer than the rest, shaped in a rectangle, top of it circular, one handle, long","really wide, with no lid and handle, looks beat up, looks like someone took a bite out of right side","really wide, looks like baby bath, bite mark in side of it",looks like bathtub with bite out of side of it
Card2,"not wide, really big handle, really high handle, woven together really tightly, green in handle, no lid, brown woven stuff, then red woven into it","really high handle, short, with red weaving through it","really high handle, short, red and green woven into it","really high handle, really small, with red"
Card3,"handle, spaces in between weavings, wide, not tight, looks like black thing inside of it","large holes in top of it, short, handle, you can stick your finger through one of the holes in top, in weavings, darker in its color","medium sized handle, holes in top where you could stick your finger through, medium sized basket, flat bottom, black inside","black base, holes in top with medium size handle"
Card4,"no handle, very wide, it can probably hold a lot of things, woven tightly, border around top of it, got an edge to it, no design, you couldn't stick your finger through one of the weavings","wide, no handle, no lid","wide, deep, no handle, no lid, tight weaving","big, wide, no handle, no lid, tight weaving"
Card5,"short, with no handle, red ribbon tied through it, woven through top","short, no handle, no lid, red ribbon through it","short, you could stick your finger through holes in it, got red ribbon","short, holes in top, red ribbon through top"
Card6,"looks Mexican in its design, very tightly woven, but there's a hole right between top and bottom, right in center, where's there's zig-zag, green to backing, triangular, looks like salsa dish",looks like salsa dish,salsa dish,looks like salsa dish
Card7,"really big, biggest one with lid, little knobby thing on top","really big, lid, two short handles on either side, little knob on top","really big, with small handles on sides, little knob on top","big, deep, with short handles and knob on top"
Card8,"looks like purse, bottom shaped like triangle, handle",looks like purse,purse,purse
Card9,"handle, wider than other one with flat lid, more round, shorter","square handle on top, round base, round lid, really tightly woven","there's no holes in weaving, you could stick your finger through holes in it, red ribbon","round bottom, flat lid, square handle"
Card10,"taller, with lid","handle, lid, pretty deep","deep, lid, handle, almost square, weavings are really tight on bottom","big, deep, square handle, lid, tight weaving"
