FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"really long, brown, in the center of it has handle, oldish woodish color, broken on one of those sides","the oldest of them all, really flat, a little broken on side",broken,broken
Card2,"curved, handle larger than body, little small holder that's reddish brownish, red weaves and brown weaves, green tint","a lot of red ribbons interweaved, large handle","red ribbons, a lot of them, interweaved with rest of body","green background around top, red ribbon interwoven, carry thing is little bit larger than body"
Card3,"most circular basket of them all, if you take out the middle it just looks like a big circle, X-weaves, on bottom a little bit black","big circle, lot of holes, pattern is X-like on top",completely circular,"pretty much circular, little X's in body"
Card4,"doesn't have handle, tip of it is thicker than rest of body, brownish color, weaves are in squares if you look at it directly","half circle, no handles, top tip of it is a little bit thicker than rest of body",tip which is a little bit thicker than rest of body,"tip that is a little bit larger than body, looks a little bit thicker"
Card5,"red ribbon interweaved with rest, little with no handles, a lot of holes","red ribbon around, interweaved","one red ribbon, interlaced",one red ribbon interweaved through it
Card6,"green background, green little triangles","green background, triangular form","green background, triangular formation","green background, triangular formations"
Card7,"lid, two handles to the side, and a little pokey thing in middle","two handles on side, lid, with a pokey thing in middle","two handles, lid, little pokey thing in middle","two handles, lid with a pokey thing in middle"
Card8,"looks like a purse, triangular in nature, heart, half circle for handle",heart-shaped,heart-shaped,heart-shaped
Card9,"lid, pretty big, lid's covering most of the carrying area, handle is half square or half rectangle, flattened down to ground","really flat down to ground, handle that's half rectangle, lid","half rectangle handle, lid, large diameter","really low to the ground, rectangular handle, half rectangle, large diameter, lid"
Card10,"lid, handle a little bit more larger radius than previous","looks like it can hold the most of them all, handle half square, one handle that's going from side to side, lid, highest of them all, between top and bottom it looks like it could hold a lot","highest one off the ground, lid, one handle that looks like a half square, from bottom to top of lid looks like largest one","high, with half square handle, interweaved lid"
