FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"wide, long, handle right in middle, narrow","narrow, long, handle, no cover","long, narrow, with handle, no cover","long, narrow, small, short, handle right in middle, on right hand corner it has like somebody bit off of it"
Card2,"small, big handle for its size, dark orange with a bit of pink and green, darkish green on handle in background",small figure with big handle for its size with small red ribbons going around it,"small, big handle, little ribbons going around it, red","big handle, small, red ribbons going across from it, bit of green"
Card3,"a bit wider, round, shorter handle, no cover, big holes, you can see through it, they are in the form of ovals and knotted together, light brownish thing, the bottom to it has dark spots","oval, you can see through it, handle, black spots on bottom","small, handle, you can see right through it, dark spots on bottom","oval, small, handle, you could see through it, darkish spots on bottom"
Card4,"wide, big opening, no handle, no cover","wide, oval, big, no cover, no handles","big, wide, oval, no cover, no handles","big, wide, brownish, no cover, no handles"
Card5,"small, pink ribbon going around it, openings, clear, you can see right through it, no handles","small, with red ribbon going around it, clear","small, red ribbon going through it, clear, that you could see right through it, no cover","small, red ribbon going across from it, you could see through it"
Card6,"light orange, yellowish, green little triangles like figures","orange-yellowish, triangle figures with green, no cover","oval, light orange yellowish, triangle figures with green","wide, oval, triangle figures, green"
Card7,"cover, wide, big, handles, cover has this little head thing, handles are on side on end, cover has this little top to it","wide, oval, cover with handles, cover has this top figure","big, oval with handles, cover, head on cover","big, oval, cover, handles, cover has something on top"
Card8,"triangle, pointing downwards, with handle",triangle with point downwards,"triangle with point downward, handle",triangle looking downward with handle
Card9,"oval shaped, circle, cover, handle that's half a rectangle, short","small, cover, wide, handle with half rectangle figure","small, short, with little cover, handle is half rectangular shape","small, short, with cover, half rectangular handle"
Card10,"long with cover, taller","long, cover, handle with half","long with cover, handle that's half","long, cover and half rectangular"
