FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"long, handle, light in middle, woven, brownish ,you could see the far inside, you could see the bottom which is not woven just like a piece of wood, long rectangle type of shape, handle in middle","rectangle, long, handle in middle","rectangular, long, handle right through middle","long rectangular, handle in middle"
Card2,"reddish color, large round handle, handle's double the size of the basket itself, woven type thing, difference of colors of red and white woven into each other, green back- ground","handle twice the size of basket itself, reddish and white colored, green around handle","you can't see through it, handle's three times larger, green around handle",green handle
Card3,"basket bigger than handle, but not by much, handle is circular, interwoven, brownish color, you can see large spaces between each piece of wood, you could see white background through it, bottom is darker, round","woven, holes in middle, you could see white behind it, gets darker on bottom , reddish color, no top, big handle clogging the middle","woven, handle, you could see on top, gets darker on bottom","woven, with handle, gets darker on bottom, reddish, without green handle"
Card4,"without handle, large, brown color, darker brown, woven, very simple, big uneven cup type thing, piece of wood on top, things are woven off of that going downwards",big cup,large cup,big cup
Card5,"without handle, interwoven, spaces in between, slightly smaller, red ribbon going through top","woven, red ribbon through it","red ribbon through top, woven, you could see through it","woven, red ribbon through it, without handle"
Card6,"without handle, green line through it, golden type thing",green line in middle,"green in middle, line, golden",green line
Card7,"top, lid, two small handles but doesn't have handle that goes over top, lid with little thing sticking out of it, left handle has some green inside of it","golden, with handle and thing on top , two little handles, left one has greenish color inside","lid, green in left handle, little extra thing on top","lid, with thing on top of lid, left handle a little green on inside"
Card8,woman's underwear,woman's underwear,women's underwear,women's underwear
Card9,"flat top, round handle, round basket, very simple, handle is more rectangle shape, goes all the way up to top, goes over whole thing, just plain round","smaller of those two baskets with lid and handle, flat top cover, round, smaller","""same one but smaller one""","""same basket, it's just smaller"""
Card10,"round handle, little bit taller, little bigger handle, flat top, not as straight, crooked a little bit, shaped down to be more square on bottom, and rounds off as it goes higher","big, round on top and it squares off on bottom, flat top, you could see the top is a little bit cracked, it doesn't quite fit right","big, flat lid, round top, square on bottom, rounds off","big, flat lid, square on bottom, rounds off"
