FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,long with handle,real long with no cover and handle going up,real long,long
Card2,"no cover, rectangular",big round handle on top,"top row, all the way to right",top right
Card3,"round, same wicker things","darker color than that, round, handle going up","top row, third one over",handle going above it
Card4,"no handle on top, roundish like bowl",right in dead center,"round with no cover, no handle",bigger
Card5,"round, no cover, no handle comin' up","round, with no handle on it and completely open",round with no cover and no handle,"round, no cover, no handle"
Card6,round but goldish,"round, no handle and goldish",top row,no cover and no handles
Card7,cover,"round with cover, no handle, more gold","bottom row, second one from left","light caramel color, completely round with cover on it but no handle"
Card8,pointed bottom,real pointed triangle bottom,triangular bottom,triangular
Card9,round with a handle going up,round and it's got a handle going up,more round,"more rounder, handle, cover"
Card10,the one to the left that your eye was just on,"in second row, to the left of that","has cover and handle, deeper","round with cover and handle, taller"
