FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"long, rectangular shaped, curved at edges","rectangular, big","rectangular, curved","rectangular, long"
Card2,"small, really tall handle","really big handle, really small",big handle,really big handle
Card3,"short handle, bigger spaces","handle, bigger spaces",big spaces,"handle, big spaces in between"
Card4,"really wide, no handles",really wide opening,big opening,"big, no handles"
Card5,"no handle, red","no lid, red","smaller, red",spaces with red
Card6,green,green on picture,green,green
Card7,"lid, bigger","flat, lid, big","flat, round, big, lid","big, circular, lid"
Card8,cone shaped at bottom,cone shaped,cone shaped,cone shaped
Card9,"lid, handle",rectangular shaped handle,"short, rectangular handle, lid, circular","round, short, lid"
Card10,"lid, taller, handle","tall with a handle, lid",tall with handle,"big, handle, tall"
