FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"oblong, rectangular, one handle, laundry basket","number one from before, looks like laundry basket","laundry basket, one handle",laundry
Card2,"smallest out of all of them, handle, looks like it's cut in half, reddish color, reddish brown, little red ribbons interwoven","long handle, red interwoven","oval handle, cut in half, red interwoven",more than one red ribbon weaved through
Card3,"bigger weave than all the other baskets, circle, visible holes","huge spaces in middle, circle, handle","with gaps, circle, no top, really big weave, biggest holes of all the weaves, circular handle","circular, big gaps in weave"
Card4,"tightest woven, no handle, looks like beehive","really tight weave, looks like beehive, no top","beehive, no top, half a circle","beehive, no handles, no cover"
Card5,"small thing, red interwoven, no handles","one red ribbon laced through, no handle","red strip interwoven, no handle","one red ribbon interlaced, no handle"
Card6,"no handle, zig-zag pattern in space, green","zig-zag pattern, green in background, looks like bowl","zig-zag pattern, green in background","zig-zag pattern, green"
Card7,"two handles, top covering it, orangish color","with top, looks like bowl, two handles on side","cover, looks like basket you take snake out of",looks like a snake could come out of it
Card8,triangular,triangular,triangular,triangle
Card9,handle looks like half a square,"sqaurish handle almost, with cover","square handle, with cover, wide, weave like little rectangles, like a barrel, when you cut a section out of it, top looks like x's, forming a circle, from side view looks like rectangles laying on top of each other, more in the brown color, stripes, on the edge of the top, circular things, like you wrap cord around edge, looks like they just laid rectangles, Jenga blocks","the one we were having trouble with last time, side looks like Jenga blocks put together, looks like number four, except more squarish, looks flat, ""cut an inch off a soda can, put a top on it and a handle and you have that"", half of it is square the handle, top is circular"
Card10,"bottom looks like half a hexagon, handle like number nine","number ten from before, hexagon bottom","bottom is hexagon, cover","hexagon bottom, cover, handle"
