FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,second row all the way to the left,the one next to it to the right,the one below that,top one
Card2,"second row, first one on left",second row to the right,"top row, the only one left",second row all the way to the right
Card3,"second row, next one in",bottom row to the right,bottom row all the way to the right,hold that one up
Card4,second row all the way to the right,the one right next to that,top row on the right,bottom to the left
Card5,first row all the way to the left,top row all the way to the left,bottom row all the way to the right,top to the right
Card6,"bottom row, second one from the left",second row all the way to the left,right where you are looking,"open bowl, looks like the last one but doesn't have cover on it, longer"
Card7,"bottom row, second one from the right","bottom row, all the way to the right","second row, second one from right","long, shaped like those two but it has cover on it"
Card8,triangular shaped,top,triangular,triangular
Card9,"first row, the left one",second row all the way to the left,"cover, small, handle","second row, all the way to the left"
Card10,"bottom row, the right one","second row, all the way to the left","top row, all the way to the left","second row, all the way to the right"
