FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"long, not circular, rectangle, you can see bottom of it, handle, makes a cone, lid","long, bar handle, no lid","long, handle, no lid",long open with bar handle
Card2,"little, with big handle, small, big loop","small, with big handle, big loop",little with big loop,little with big loop
Card3,"medium, handle, wicker's thick on it, light brown, big holes","wickers have big holes, wicker's real thick braided, handle","thick braid wicker with holes, bar handle","thick braided with holes, handle"
Card4,"round, no lid, no holes in wicker, wide","big round, with no lid, no handles","big round with no lid, no handles","big round with no lid, no handles"
Card5,"no handle, holes in wicker, red loop","round, with no lid, red ribbon going through",red loop going through,red ribbon going through
Card6,"some weird design in middle of it, two little handles, with no lid","circular, with no lid, weird design almost near top, doesn't have handle, brown and round","big, with no lid, two little handles, weird little design runnin' through it, zigzag","round, zigzag design going through it, little handles, little green background behind design"
Card7,"lid, closed, no holes in wicker, little handle on top, round, two little handles","round, with lid, handles, with little thing on top of it","lid, little thing at top","round, with funny thing on top of lid"
Card8,v-shaped with handle,v-shaped,v-shaped,v-shaped
Card9,"lid, handle, short, one big handle going over top",nine looks just like five but a smaller version,smaller,smaller
Card10,"bigger, lid, handle, on big loop over it","lid, bar handle, round, tall compared to other one that it looks like, bigger",bigger,bigger
