FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"really long, medium brown color, handle","long, handle, blue and white","really long, handle",bottom right
Card2,"shorter, with thick handle, more like a box","really weird looking, small, brown, with a whole bunch a different colors","weird looking one with all the colors, small with big handle","really small, with bigger handle, different colors"
Card3,weird design,"circle, small, handle, pretty designs","handle, designs","handle, designs"
Card4,circle without a handle,just round with no lid on it,"open circled, large, no green","just open, no lid"
Card5,"all holes and pretty designs it, with a pink string going through it",pink string running through it,"no handle, pink string running through it",pink string running through it
Card6,"no handle, really light shade of brown, designs in it, with holes, no lid, green","green, no handle",green,"green line running through it, no lid"
Card7,"lid, without the handles, bigger",circle with two little handles on outside,"two little handles on side with lid, pretty round",circle with lid and really small handles
Card8,triangle,triangle,triangular,triangular
Card9,circle with lid and handle,square handle,round with a lid and a square-ish handle,circular with a lid and a square-ish handle
Card10,the one you just picked up,"top handle, brown, longer than that","taller, with square handle and lid","tall, handle, lid"
