FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"extremely wide, woven","elongated in diameter, woven with handle, extremely wide","handle, elongated in diameter","elongated in diameter, handle"
Card2,handle is elongated in height,"handle, red designs, resembles Easter basket","resembles Easter basket, handle is high",Easter basket
Card3,"container part is medium height, round in shape, design on container","round in shape, with designs, woven, medium height, has a handle","handle, medium in size, woven, with designs","woven, designs"
Card4,"does not contain a handle, wide, woven, elongated in diameter","does not contain a handle, elongated in diameter","does not contain a handle, elongated in diameter","elongated in diameter, no handle, brown, darkest"
Card5,"does not contain a handle, medium sized, red ribbon across container","does not contain a handle, red ribbon across","does not contain a handle, red ribbon",red ribbon
Card6,"yellow, with green pattern in background","yellow, does not contain a handle, green background","yellow, with green background","no lid, green background"
Card7,"yellow, with lid, two handles at sides","yellow, with lid, two tiny handles across from each other","yellow, with lid, two handles on sides, opposite of each other","yellow, with lid, two handles"
Card8,"resembles a pocketbook, handle, woven, red and green patterns","pocketbook with handle, woven, with green and red patterns, in front, with also yellow patterns, v-shaped","pocketbook with handle, red and green","pocketbook, green and red"
Card9,"handle, round in shape, diameter seems as though it's equivalent in circumference","lid, handle, yellow in color","round, with lid and handle","elongated in diameter, lid and handle"
Card10,"handle, elongated in height, lid","yellow in color, handle, lid, elongated in height","handle, elongated in height, lid","elongated in height, lid, handle"
