FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"rectangular shape, long, longest with handle","rectangular, longest with handle","rectangular shaped, with handle to it",rectangular shaped
Card2,"colorful, little bit of green, reddish and brown in it, with handle, green in background","colorful, with handle, small, green outline in back",has green background,"basket with handle, green on back- ground"
Card3,"has handle, looks like it's criss-crossin', overlappin', circle, has no tops, round, all brown like straw, oval","with handle, criss-cross, forms a X, not colorful, all brown lookin', only one without all those colors in there, shaped like a oval, you could put eggs in there","intertwines, forms X's, has a handle to it","forms X's, with handle"
Card4,"oval shape, big, has no handle, brown","large, brown, shaped in a oval","round, with no top to it, no handle, brown",brownish basket by itself with no handle
Card5,red string around,"small, with red, looks like string around",red string around,red tape around
Card6,"goldish colored, green background in back, no cover","light goldish color with green background, no handle",little green background,other goldish color with green background
Card7,"same color as the one previously, top","golden colored like the other one, light color, with top","top, goldish color, with no handle","top, goldish color"
Card8,"looks like a purse, shape of a diamond, v-shaped","shaped in a V, handle, colorful","v-shaped, looks like it has red in there","v-shaped, with handle"
Card9,"handle, made like a pot, short, little, goldish, top","small, with top, gold, handle","short, with top and handle","short, with handle and top"
Card10,"tall, with top","tall, with top","tall, with top and handle",with handle
