FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,rectangular,really really long bottom,top row to the left,bottom row to the right
Card2,really tiny,bottom right,"second to the right, middle row",the one you just picked up
Card3,"really really round, big, weaved, handle, rounder bottom",bottom left,"middle row, second to the left","to the right, middle row"
Card4,doesn't have those handles on the sides,bottom row,on your right hand,oval
Card5,"little pink ribbon around it, without handle",red ribbon around it,around it,red ribbon
Card6,some green,green ribbon,green ribbon,green ribbon
Card7,has a cover on it,cover,oval with a cover on it,oval with the cover on it
Card8,triangular,[Missing Data],triangle,triangle
Card9,"middle row, right",top right,cover,looks like that one but it's shorter
Card10,top right,"bottom right, second one",really long bottom with the handle,cover
