FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"no lid, big, long",long with handle,long with handle,"long with handle, top"
Card2,looks like Easter basket,Easter basket looking,Easter basket,Easter basket
Card3,handle,"handle, has weaving that has holes","handle with no cover that the weaving is big, open",the one on the bottom
Card4,"doesn't have a handle, pretty big",middle row,"no handle, no cover",bottom row in the middle
Card5,top one on right,red ribbon,red ribbon,red ribbon
Card6,"no handle, tall, no cover",green band,green ribbon,green ribbon
Card7,the one that was below that one,"cup, wok looking thing","middle row, third one in","wider, cover, side handles"
Card8,"one with the handle that has a pointed bottom , heart shaped",pointed bottom with the handle,pointed bottom,pointed bottom
Card9,cover and a handle,"middle row, on the right",cover and a handle,other cover and a handle
Card10,other one,handle and a cover,"cover and a handle, taller","taller, with cover and handle"
