FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,both sides,really wide,wider,wide
Card2,very small,very narrow,"really short, small","""the one right next to it that you picked up"""
Card3,handle going across,"""you're actually looking right at it""","small, handle","smaller, handle up top"
Card4,"very deep, hollow",really deep,deep,deep
Card5,really small,really tiny,"small, really, little wicker","small, wicker"
Card6,"really yellow, some green","yellow, little bit green","yellow, little bit green","yellow, little bit green"
Card7,"top, wider, little handle","lid, wide","top, wide","short, handle on top, whole top"
Card8,"pointy, bottom",pointy,pointy,pointy
Card9,handle,lid on top,"handle, little bit shorter","shorter, handle, lid on top"
Card10,"longer, handle","taller, handle","tall, handle","taller, handle"
