FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"long, longest basket, resembles rectangle",long,basket on middle on top,big rectangular one
Card2,"go underneath third one, it's the third one in middle row",most left in middle row,middle basket in middle on right,next one on left
Card3,"on the very bottom, second from right",basket on top left,second from right in middle,the one that was next to it on left
Card4,most left one in middle,big,big circular bowl,the one that was next to it on left
Card5,second one on top row,very bottom in the right,top left one,little bowl
Card6,most white,the one that was next to it,the one by your hand,circular bowl
Card7,second in middle row,"at top, left one",with lid,with lid
Card8,left on top row,second from top,"triangular, long",triangular
Card9,the only one in middle row,top one,basket on bottom left,second top one from left
Card10,left one on bottom,most white,middle,very bottom right
