FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"medium tan, longest lengthwise, long oval shape",long,big long oval with handle,long oval
Card2,"small, loop on basket is bigger, dark brown, little","Easter egg basket, no lid, hoop on top of it, dark brown","Easter egg basket, small, brown with a handle on top",Easter egg basket
Card3,"wicker weave type thing, big spaces between weaves, looks like it's twisted around in loop in top","loose weave with top that looks twisted around, small, brown, has hoop on top, then it's woven, and there is holes","big holes, loop on top of it, reddish",big loops with handle
Card4,"looks like bowl, darker tan","big wicker bowl, no handles","wicker bowl thing that doesn't have lid, no handle","fruit bowl, doesn't have lid"
Card5,"fruit bowl, red ribbon going around top of it, loose weave, open weave",red ribbon through it,red ribbon thingy,smaller bowl with red ribbon through it
Card6,"triangle shapes going around top, some green",green on top with triangles,bowl with triangles and green on back,"green in back and triangles, bowl"
Card7,"without handle, cover, round","cover, has little thing pointing up on top, red","thing with red thing sticking out of top, with lid","with lid, with red thing on top"
Card8,triangle shape on bottom,triangle,triangle,triangle
Card9,"round, cover, hook on it","tan, with cover and hook on the thing, handle","half the height of that one, lid and handle on top","half that size, looks pretty much the same but it's rounder"
Card10,"longer that previous, cover with hoop on it","picnic basket, tall, lid, hoop on top of it","big picnic type basket that's long with handle and lid, taller","tall, with lid and handle on top"
