FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"very long, rectangular in shape, light tan, weaved, handle coming over top, right in the middle handle","rectangular large, very long, handle in middle","really long, rectangular, handle in middle",rectangle
Card2,"huge handle, very small, red and brown and green weaving, right in middle, can see right through handle, very tiny basket compared to the handle","very large handle, very small","small, with large handle","small, giant handle"
Card3,"large, with another handle, same color, but weave is very wide, a lot of spaces, black in bottom, you can see right through, large handle, but it's not really that large in proportion to the basket, very circular, the look of the whole thing","very round, very open weave, something black in bottom, or just shadow","rounded, very open weave, black in bottom","very open weave, black bottom"
Card4,"very tight weave, without handle, very large bowl, bottom looks like solid piece of bamboo, uniform tan, some spaces that look darker color, brown",very large,"very large bowl, tight weave","very large bowl, tight weave"
Card5,"small, wide weave, red weave through whole thing, red ribbon","red ribbon, striped",red ribbon running through,red ribbon
Card6,"tan bowl, looks like solid beading, some green on other side","bowl, green striping in back, in background",green background,green background
Card7,"two handles on sides, lid on top, handles come through lid, tan, little knob on lid itself","top, two handles sticking out, small","two handles, big lid","two handle, large lid"
Card8,triangular,triangular shaped,triangular,triangular
Card9,"squarish handle, round lid, looks similar to old style picnic baskets, circular","round, with round top, square handle","round, squared handle, lid","round, round lid, square handle"
Card10,"similar handle to previous, very rough looking round lid, it itself is more squared, almost a little rectangular, tapers towards bottom","tapered, looks almost like old, rough handbag, thin handle up at top, very rough looking lid","tapered, rough top, lid","tapered, rough lid"
