FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"very wide, looks like you could actually fit a baby, you can pick it up, handle","very wide, baby",baby,baby
Card2,"really tiny, handle, very big, much bigger than the actual basket itself, wide holes","tiny, long handle","tiny, big long handle","tiny, little, big handle"
Card3,"handle, very wide holes","handle, round, open, not close knit","open, not tightly knit, one handle, can see right through","can see through, handle, round"
Card4,"doesn't have handle, wide, green, bowl","really wide, deep, no handle","wide, deep, big, no handles","big, no handle, wide"
Card5,"really tiny, no handle, no lid, ribbon","little, tiny, no handle, red ribbon around","tiny, ribbon","tiny, little, ribbon"
Card6,"salad bowl, zig-zag pattern, no lid, no handle","zig-zag design, salad bowl","zig-zag, design","no lid, no handle, zig-zag around, salad bowl"
Card7,"lid, no handle, two tiny handles on each side","lid, two tiny handles on each side","lid, two tiny handles on each side","lid, two tiny handles on each side"
Card8,"pointed, at the bottom","pointed, pocketbook",point,pointed
Card9,"round, handle, towards the bottom, same shape whole way down","round, lid, handle","shorter, round","shorter, lid, handle"
Card10,"""looked like the last one""","lid, handle, square-ish","lid, comes down into a point, not little short","handle, lid, not short, taller"
