FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"rectangle shaped, handle in middle, no lid, empty","rectangle shaped with handle in middle, no lid",rectangle shaped with handle in middle,rectangular shaped with handle in middle
Card2,"Easter basket, pink things, pink wood, twisted handle, green outlining around the handles especially, squarish type bottom",Easter basket,Easter basket,Easter basket
Card3,"circular, criss-cross box, handle, one of them goes straight and rest of them criss-cross, round, shaped like bowl, texture is criss-cross, no lid, lightish brown, a little bit black inside","circular with criss-crosses and little black stuff inside, with round handle and no lid","confusing one that's circular, with criss-cross and black stuff inside",confusing one with black stuff inside
Card4,"doesn't have a lid, wide, circle, really tiny like the sewing things, widest one, biggest one, no handles, just like a bowl","widest, bowl shaped, no handles and no lid","most circular and widest, with no lid and no handle","wide bowl, biggest, most circular"
Card5,"pink ribbon going around it, small, criss-cross things, gets smaller as it goes towards bottom","smallest with pink ribbon going around it, no lid","smallest, pink ribbon going around it",smallest with pink ribbon going around
Card6,"light goldish, triangles, greenish background in back, circular on bottom, like a bowl, solid at bottom","no lid, no handle, triangles on bowl, goldish, green in background",green background and triangles and goldish brown,green background with triangles and it's goldish brown
Card7,"lid, goldish, two handles on the edge, little things sticking up in middle","lid, goldish brown with two handles and that thing sticking up in middle",goldish brown with two small handles on side and that thing sticking up,two small handles and thing sticking up on lid
Card8,"triangle shaped basket, looks almost like heart",heart shaped,heart shaped,heart shaped
Card9,"circular, handle in middle",round with lid and handle,"roundish with flat lid and square handle,",circular with square handle and flat
Card10,"square-ish, gets smaller as you go down, lid is like a black type circle","gets smaller as you go along, square, flat lid","square, gets smaller as you go along, with flat lid, handle","square, gets smaller as you go down, with handle and flat lid"
