FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,long,big,"bucket, big","big, bucket"
Card2,"small, loop on top","red ribbons running through it, handle",the one that you just had,"right there on right, middle"
Card3,"short, fat",wicker type basket,reddish color,wicker
Card4,just a regular open basket,open basket,"big open brown basket, with no handles","big, brown"
Card5,open wicker basket almost with a red loop through it,ribbon through it,"red ribbon, but the one with no handle",ribbon running through it
Card6,yellow and green,golden and green,bottom left,yellow and green
Card7,has top on top of it,yellow with a top in middle,"yellow with top on it, big",yellow with top on it
Card8,shaped like a heart,heart shaped,shaped like a heart,heart
Card9,"circular, with a loop","top, has a hoop to lift it with",the one that you just had,"flat one that looks like that, fat"
Card10,"big, with hoop on right",handle on top and top on top of it,"big, with top, no handle","yellow, lid"
