FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,very wide,"really long, wide, with handle","really wide, handle","pretty wide, handle"
Card2,"a lot smaller than the first one, bottom part has some pink","small, with handle, pink coloring","pretty small, handle, pink coloring at bottom","small, handle, pink trimming at bottom"
Card3,"a little bit bigger than the second picture, back part of bottom half, you can see holes through weaving","small, with handle, back part of bottom half you can see holes through weaving","handle, you can see holes through back part","handle, the one where you can see holes in back"
Card4,"pretty big, doesn't have handle","no cover, no handle","no cover, no handle, pretty big","pretty big, no cover, no handle"
Card5,"smaller than the fourth one, no handles, some pink trimming on bottom part","no handle, no cover, pink trimming, at bottom","small, with pink, red trimming, with no handle","small, no handle, pink trimming"
Card6,"yellowish orange color, no handle","orange color, with green trimming on back",orangey color with green on back part,"orangey color, no handle, green in back"
Card7,"orangish, yellowish color, doesn't have a handle, looks more like a pot, lid","orangey yellow color, cover on top, with no handle","orangey type color, with cover","orangey color, with cover on top"
Card8,upside down triangle shape at bottom,"upside down, triangular shaped bottom",bottom part is upside down triangle,upside down triangle shape at bottom
Card9,"like number seven, but smaller, with a handle","orangey type color with cover, handle","handle, cover, a lot shorter than the second one","cover, handle, a lot shorter than the first one"
Card10,like the last one we just did but longer,"cover, handle","cover, handle, bottom part long","cover, handle, long bottom part"
