FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"rectangular, light brown, oval shaped, very long in length, you can see bottom, circular sides","rectangular, handle in middle, you could see bottom","rectangular, handle in middle","handle in middle, very rectangular, bottom's showing"
Card2,"not triangle, really small, reddish things and green, handle, red strips through, loop is very big","not triangular red ribbon, has red and green in it as well","red ribbons, not triangular","red with handle, red ribbon"
Card3,"light brown, very small, can't see bottom, you can see other side, handle, about the same size, no cover, black at bottom, with little loops","black bottom, black ribbon going through, towards bottom looks striped, one handle, round","black ribbon, big loops",black ribbon in bottom
Card4,"circulish, you could see inside, but not bottom, very big, plain old dark brown, no handles, deep inside","very deep, round",deep,very deep
Card5,"small, red ribbon at top, no handles","red ribbon going through, no handle","red ribbon, no handle","red ribbon, no handle"
Card6,"triangular, green, designs inside, green triangles","green triangles, green through back, designs",green triangles,green triangles
Card7,"circulish, large, very small loops, two loops at end, like a kettle, like the thing to pull it up, cover, small thing to pick it up","kettle pick up thing, two handles on side, teeny little handles","two little handles on side, kettle thingy on top","two handles, thing on top"
Card8,"triangular, red and green, very stylish","triangular, red and green stripes, coming in like a half diamond","triangular, red, green, diamond things going into it","triangular, red and green"
Card9,"circulish, handle, squarish, cover, short","smal round, handle, cover","short, with cover","short, with cover, handle"
Card10,"rectangular, pointed in towards end, cover, handle, looks like last one only higher, very long, different from bottom","rectangular, bigger length, higher, cover","rectangular, handle, cover, tall","tall, with cover"
