FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"long, longest","longest, with handle","long, horizontally","long body, horizontal"
Card2,"looks like you could carry fruit in it or some'n, handle, small",red ribbon with handle,"big handle, short","big handle, little"
Card3,"spaces in between straw, handle","spaces, with handle","spaces, with handle","spaces, handle"
Card4,"doesn't have handle, big","open, with no handle","open, big, no handle, no lid","big bowl with no lid, no handle"
Card5,"spaces, doesn't have handle","spaces, with no handle, red ribbon","spaces, red ribbon, no handle","spaces, no handle, red ribbon"
Card6,"tan, green around it","tan, green around it, within it",green ribbon,"green ribbon, no lid"
Card7,"look like a pot, tan, little",look like a pot,look like a pot,pot
Card8,triangle looking with lil handle,triangular looking,triangle,triangle
Card9,"handle look square, short","handle, tan, lid over it, short",shorter with handle,shorter body
Card10,little taller,"tan, handle, body tall","long body with handle, lid over it, long vertically","handle, lid, long body vertically, really thin"
