FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"long, handle, narrow","little long, green colored handle, greenish, yellowish, brownish, narrow, open, longer than the rest of them, looks like you could put baby in",looks like it could hold a baby,looks like it could hold baby
Card2,"handle, pretty small","small, handle, some red woven in between","handle, little smaller","handle, small"
Card3,"shorter handle, full, lot of spaces in between with the weaving","handle, weaving separated, spaces in between","handle, spacing in between weaving","spacing in between, handle"
Card4,"does not have handle, pretty big","brownish, no cover, no handle","no cover, no handle, tightly woven, brown","tightly woven, no cover, no handle, big"
Card5,"small, does not have handle, spaces in between weaving","red ribbon going around top, small, no cover, no handle, spaces in between","very small, no handle, no cover, spacing in between weaving","small, no handle, spacing in between"
Card6,"very light in color, does not have handle, circular base that's apart from basket, no cover, little stand at bottom, green background thingy","light in color, green background",green background,green background
Card7,"cover, two handles at edge","cover, two little handles on edge","two little handles on edge, little knob in between, cover","cover, two little handles on edge"
Card8,v-shaped,v-shaped,v-shaped,v-shaped
Card9,"handle, cover","circular, cover, handle","cover, handle, more circular","cover, handle, more circular"
Card10,"handle, cover, little bit longer than previous","cover, handle, more squarish","cover, handle, squarish shaped","cover, handle, squarish shaped"
