FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"two colors, gold and black, pattern, you can can see side of dog, it's facing side, black pattern on back which rolls down stomach, ears in the middle of its neck, one of its teeth is sticking out of its mouth, leaning on two forward legs, two back legs, and sort of on toes a little bit, back leg is facing the left leg, sharp tooth on left side of face sort of sticking out, standing on all four, you could see its left side of the body, black spot on the middle, roundish, covering the stomach","that dog with the tooth in front of it coming out of its mouth, with black spot",tooth sticking out of mouth,tooth sticking out of mouth
Card2,"curly sheep hair, facing you, goldish, a little bit of black, head is tilted towards right, you can only see its left ear, sort of bent, sort of folds in, makes a shape of an L, standing on yellow grass, half of black, half yellow background","black and golden background, black on top, golden on bottom, golden hair, black back, ears folds in the shape of an L, upside down L, yellow, little bit black fur on back, half black, half yellow background","half black, half yellow, black on top, yellow on bottom background","half yellow, half black"
Card3,"it's got hair but not long, grayish color, leash hanging, somebody pulling the leash, or leash is tied down to something, brown color, tail is laying out behind it, sitting down on its back two legs, two front legs are standing up, green grass","leash tied to ground, tail is laying down on the grass, green grass behind it, all brown, facing in front of you, but you could see head is tilted to side","sitting down on green grass, tail lying out behind it,","tail laying on back, sitting on grass"
Card4,"smaller, short feet, long body, black, curly hair, you can't see its tail, short legs, long stomach, like a sausage, no background","short legs, long body, larger distance between its front legs and back legs, compared to his legs and his head, long, no background at all","short, black, fuzzy hair, short legs, long body","short legs, long body"
Card5,"yellow background, leash with coin, or maybe dog tag, round, circle, black fluffy hair, big ears, sheep dog, background's goldish, face is facing you but a bit to right, round circle metallic dog tag","collar, round metallic dog tag",metallic round circle dog tag on leash,metal round dog tag
Card6,"hound dog, no hair, black, very muscular, standing on side, little bit of brownish on mouth and muzzle, green background type thing","muscular, black hair, just standing there, on all four legs, little brown by muzzle, by its mouth, very short hair, brown on its front left paw and mouth","muscular, black, standing up","muscular, black, standing up straight"
Card7,"more hair, brown, from the stomach you can see the hair sort of like growing out, on the stomach and legs it grows longer, ears falling down from its head, face is up a little bit in the air","long hair from the stomach and legs, ears falling off, golden brown color",ears falling down,ears falling off
Card8,"muscular, brown color, golden, ears facing up, short tail, bulldog, standing on two front legs, two back legs seem to be in running position","muscular, gold, standing on front two legs, act like in a running position","muscular, golden, leaning on front two legs, running in back legs","muscular, leaning on two front legs, gold, brown hair, running"
Card9,"husky, white hair in front, tongue sticking out, black hair on back, on green back- ground","husky, white fur, tongue sticking out, black on back, on green grass, white hair on stomach and legs, gets darker as you go higher, striped with white","husky, white hair, tongue sticking out","husky, tongue coming out of mouth"
Card10,"black, lying down, tail back up straight in air","tail pointed straight up in air, lying down in grass","tail pointing out in air, straight up, lying down in grass","tail sticking up in air, lying down"
