FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"standing really upright position, black stomach, golden face, golden legs, tip of tail is black, looks like Rottweiler but it's not, facing to left, ears are down, nose is black, right above eyes is black, gold and yellow on out and everywhere else","first dog you had, floppy ears, black tail, ears are down, standing straight to left, end of tail is black","black tail, ears down, black body","black nose, black tail"
Card2,"very furry, British looking, yellow, back leg facing out from rest of body","right back leg facing out, head down",dog that has a leg problem,dog with the leg problem
Card3,"very scary looking, looking to left, brown leash around neck","head facing to left, sitting down, leash","sitting down, facing to left, leash","leash, sitting down"
Card4,"small Chihuahua looking thing, hotdog, black",hotdog,hotdog,hotdog
Card5,black poodle with golden thing,poodle with golden coin,poodle with ring on neck,poodle with ring
Card6,"one of those Dobermans, scary","Doberman, garage keeping dogs",scary looking Doberman,Doberman
Card7,"looks like golden retriever but in poodle version, stretching its neck out, up, very furry, brown, very small, ears are down, very long, facing to left, face sticking up, smelling something, no tail, can't see tail","golden retriever with face smelling, no tongue, ears are down, nose is up, body extending towards head, stretching its neck out",golden retriever we're having problems with,golden retriever
Card8,"standing in very ready to attack position, black nose, rest of dog is yellow or brown, ears pointing up, no tail, very small tail, very muscular","black nose, ears upright, very muscular looking, all yellow, standing facing to left","boxer, black nose, very muscular, built body","boxer, built body"
Card9,"Siberian husky, wolf","Siberian husky, looks like a wolf",Siberian husky,Siberian husky
Card10,"some type of terrier, big mustaches, black, very small, tail pointing upright, Yorkie, tail is straight up","last one we had, Yorkie, tail upright",Yorkie with big mustaches,Yorkie with mustache
