FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"orangish brown, standing to side, black on back, looking to left, you could see one ear, standing up on all fours, complete profile, short hair","dog standing up, looking to same direction as boxer was, orange shiny coat with black, black saddle on back","golden brown with black saddle looking on back, that marking",black saddle thing on back marking
Card2,"Scottish, fuzzy nose, very short ears, standing to front but looking to side","standing up, looking to side, very short ears, billy goat gruff on chin","with gold coat, standing up, with billy goat gruff chin","golden, standing up on all four, with short ears and scruffy chin"
Card3,"very very very short hair, small, beigish color , sitting on hind legs","beagle, sitting down on hind legs, looking to side","beagle, light brown, looking to side, sitting on hind legs, sitting down","beagle with brownish coat, sitting down on back legs"
Card4,"really really tiny, very dark, fuzzy looking coat, long nose, very short ears, shorter hair","really really short, small, black","little, black, tiny","really really small, black"
Card5,poodle with black hair,black poodle,poodle,black poodle
Card6,"very skinny, Doberman pinscher, shiny black coat","Doberman pinscher, shiny black coat , standing up, skinny, pointy ears",Doberman pinscher with black silky coat,Doberman pinscher with black silky coat
Card7,"cocker spaniel, light brown coat, furry ears","cocker spaniel, long curly-ish hair","cocker spaniel, looking to side, with long goldish coat, shorter","cocker spaniel with gold coat, standing up"
Card8,boxer,boxer,boxer,boxer
Card9,"white, wolf","white, wolf",white wolf,white wolf
Card10,"very short, long hair, black, pointy ears","Scottie, very long hair, pointy tail, pointy ears","Scottie, black with long hair, pointy tail up","short, black, with pointed tail up, pointy ears"
