FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"looking off to left with tail down, got his legs far apart, yellow on black body","looking in same direction, black body with orangish yellowish paws","standing on all fours, black body and orangish legs","on all fours, with black body"
Card2,"goldish, body's facing one direction, head is looking back off in other direction, standing on all fours, body facing opposite direction, looking straight ahead, not like up, legs are far apart","up on all fours, with gold legs, tall, legs are far apart","up on all fours, has gold legs, looking back","up on all fours, golden legs"
Card3,"same type position, sitting, brownish gold","sitting, goldish yellowish","sitting down, goldish brown",lightish beige
Card4,foot long hotdog,black foot long,hotdog,hotdog
Card5,black poodle,black poodle,"black poodle up on all fours, shaggy ears",black poodle up on all fours
Card6,"looks like German shepherd, all black but with beigish nose, on all fours","looking in same direction, all black, outlined in yellow, but mainly black","Saint Bernard, blackish, up on all fours",like a Doberman
Card7,"smaller, lookin' in same direction, but little gentler dog","up on all fours, you can see whole thing, blackish body with goldish paws, paws are spread out","up on all fours, golden legs, darker body, goldish",almost in same position but little bit darker color
Card8,"gold, looking in same direction, on all fours, stubby tail","up on all fours, like about to attack, really goldish","really gold, standing like same position, on all fours with black legs stretched out","real gold, up on all fours, with black legs stretched out"
Card9,husky with white and blackish,husky looking like straight at you,husky,husky
Card10,"black small, looking off in same direction","black on all fours, you can barely see legs, looking in other direction","looking in opposite direction, you can barely see legs, blackish","black up on all fours, you can barely see legs"
