FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"standing (on) four legs, in middle it's black, facing left, long tail, paws lightish brown, back it's yellow, ears black towards tip","black stomach and back and legs, goldish legs, tail is long, blackish tip on tail","standing up with long tail, blackish stomach and back","standing up, yellowish type dog, with black stomach and back"
Card2,"furry, looking towards back, one of its leg is standing out, turning around a little bit, yellow, middle it's black","tiny fur, one leg is extended out and it's looking back","small furry, one leg sticking out",one leg extended out
Card3,"light beige, standing on grass, sitting, has a leash, looking back, tail sticking out on grass",sitting on grass and it's looking back and has leash,"sitting, looking back on grass, tail on grass, long","sitting down, sitting on grass, tail on grass"
Card4,"dark dark brown, skinny, not a poodle, you can only see three of its legs, really tiny , mouth part sticking out, light more towards head, nose blackish, ears lighter than whole body, almost black, no collar, short, not furry, hotdogs",hotdog,hotdog,hotdog
Card5,"poodle with collar, silver type thing, small circle",poodle with circle leash,poodle with round leash,poodle with collar
Card6,"German shepherd, black, nose part is goldish brown, paws goldish brown, standing on grass","German shepherd, standing on grass , little bit on mouth part is goldish, really black",German shepherd,German shepherd
Card7,"Golden retriever, laying down on grass, stomach area on back is darker brown, legs and head is goldish, nose black","Golden retriever, laying on the ground","laying down, Golden retriever","Golden retriever that's laying down, with curly ears, long floppy ears"
Card8,"goldish, mouth and nose part is black","black nose and mouth, rest of body is goldish, legs are extended out","black on mouth, two legs extending out, goldish, small tail","two legs extending out, goldish with black nose and mouth part"
Card9,"wolf, white, blackish on back, tongue hanging out","white, wolf","white, wolf",white
Card10,"furry, hair coming down on mouth and stuff, black","sitting down, really furry, hair hanging out, tail sticking up, black, sitting on grass","fur hanging out of mouth, and sitting on grass with tail sticking up",hair hanging out of mouth and tail sticking up
