FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"facing left, brown in middle, sandy color on outside","first one we had problem with before, brown in middle",the one we had problem first time,"the one we had problems with in beginning, with brown in middle"
Card2,the one you just picked up,"light curly hair, tall, weird looking","ugly, curly hair","ugly, curly haired"
Card3,"sitting down, got a collar on",sitting down,"yellow Lab, got a collar on 'm",yellow Lab
Card4,really ugly,black,"similar to the first one, but he's facing the other way",right where your hand is
Card5,the one you had up before,"same color as last one but he's standing up, facing towards you, curlier hair","blackish color with curly hair, got a collar on with circle on it","black curly hair, looking at you"
Card6,really tall and weird looking,"tall, gangly",really tall,"really ugly, tall"
Card7,"brown color, like a Lassie dog, curlyish hair","curly hair, brownish color, light brown, grass in picture, small and skinny","Lassie type, facing towards your left, brown",Lassie
Card8,boxer,"boxer type, facing towards left",boxer,boxer
Card9,husky,husky,husky,husky
Card10,"brown, short, got grass all over the bottom of 'm","brown in grass, darker brown, almost black","facing towards your left, curly hair, dark color","facing towards your left, curly hair, really short, small, blackish colored"
