FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"black right in middle, oval, two front legs are orange, back ones are yellowish, right on corner of tail it has black, tip of tail, facing left, has poise","black belly, standing tall, looking left, has tip of black on tail, bit of black on mouth, orangey, first front legs are orange, back one has yellow","standing up, black on belly, front two legs are orange",black belly with two front feet
Card2,"looking left, small ears, bottom part to where legs are it's yellowish, background legs are a bit yellowish orangey, belly has bit of black on it, background to the head and half the body is black and then from half bottom background is yellow, standing lookin' at something, one of the legs is outward, head is tilted, not looking directly left, you can see its lips form, its lips are black","half black background, half yellow background on bottom","background is half black, half yellow","background is half black top, half yellow on bottom"
Card3,"background is green, sitting down, short little legs with a bit of long tail, facing left, but only his head, body is facing right, tail is on floor, has collar","sitting down, body towards right, but face looking left, sitting on grass, background's green, tail on floor, long tail, has collar","green background, sitting down on grass, long tail on grass, body towards right, head facing left","sitting down on grass, long tail, has collar, looking left but body is towards right"
Card4,"small, black, facing right, long mouth, short",short with long mouth,"small, black, short, long mouth","short, longish, with little feet and big mouth"
Card5,"a bit taller, has collar with medallion on it, black, curly hair, head's facing left, background is yellowish","black, curly hair, has medallion on collar","black curly hair, has collar with medallion","black, short with collar that has medallion"
Card6,"tall, black, a bit of brown on mouth and feet, facing left","standing tall, black, bit of brown on mouth and on tip of feet","all black, a bit of brown on mouth and on tips of feet",all black with a bit of brown on mouth and on tip of feet
Card7,"facing left, standing up, but in a way about to sit down, brown, belly has darker brown hair, ears and legs are a bit lighter, a bit of a long ear, hairy, long hair, legs are orange color, floppy, one of its ear you can't see other side","long hair, darker brown hair in middle, facing left, standing, floppy ears","long hair, facing left, floppy ears, darkish brown in belly, light around feet","long hair looking left, floppy ears"
Card8,"standing tall, black mouth with black surrounding eyes, small ears that are sticking up, chain collar, orange brownish, background is yellow","standing tall, black mouth with dark black surrounding around his eyes, small ears sticking up, chain collar, brownish orange, yellow background","standing tall, black mouth, with black around surrounding its eyes, ears stickin' up, chain collar","standing up tall, black mouth, black surrounding in eyes, ears stickin' up, chain collar"
Card9,"white with black surrounding, tongue sticking out","tongue sticking out, white, black","tongue sticking out, white, facing left, a little black","tongue sticking out, white hair with a bit of blackish, standing up"
Card10,"small, black, ugly, short tail that's sticking up, background, green, Toto from Wizard of Oz",Toto,Toto,Toto
