FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"mainly black on stomach, mid-part of body is black in color, brown legs",mid part of body is black,mid part of body is black,black in mid part of body
Card2,face is facing left side,"posing in left position, short ears, yellowish, facing left side","posing in left position, yellowish, brown","facing left position, short ears, yellowish brown"
Card3,"resembles Labrador retriever, tail elongated, posing in left position, face is facing left side, yellowish beige, collar, thin","resembles Labrador retriever, facing left side",Labrador retriever,Labrador retriever
Card4,"brown, face is facing right side, body's elongated, long ears, droopy, nose is protruding, sticking up","puppy, facing right side",dark brown puppy,darkish brown puppy
Card5,"black, round, gold collar, poodle","resembles black puppy with gold collar, round","poodle, with round collar","puppy, poodle, with gold collar"
Card6,Doberman pinscher,Doberman pinscher,Doberman pinscher,Doberman pinscher
Card7,"facing left side, long ears, in stretching position","facing left position, long, droopy ear, beige in color","long droopy ears, yellowish beige","long, droopy ears, yellowish beige"
Card8,"resembles a Rotweiler, ears pointed up, as though he's in aggressive, attack position, reddish","aggressive, attack position, black snozzle, running","attack position, ears protruded upward",attack position
Card9,"resembles a fox, resembles a wild dog, wild animal, white with black fur, Siberian husky","resembles a wild animal, black and white",wild animal,wild animal
Card10,"resembles a puppy, long black hair",resembles black puppy,black puppy,black puppy
