FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"standing up, head facing towards left, big black spot in middle of body, brown, Spot",Spot,Spot,Spot
Card2,"looks like a poodle, but little head is turned to side and ears folded over, not a poodle, but whitish, facing forward, black part lying on top","scruffy looking, black thing on top, black outline on top",black on top,"black on top, in background"
Card3,"green outline around it, tan, some grass around him, sitting with face pointing to left","tan dog that's sitting, head turned other way from which way he is sitting , green outline","grass around him who is sitting and facing towards left, with black on top","sitting on grass with little head pointed , green around him"
Card4,little black thing that looks like a dachshund,black dachshund thing,little black,dachshund
Card5,"little black poodle, with collar","poodle with collar, black",black poodle,poodle
Card6,"mean looking, Doberman type thing, black, green around him","sleek, black, other mean dog that has green around him","other mean dog, black and shiny","shiny, black, mean, scary dog"
Card7,"fluffy ears, green around him, looking towards left, light brown, dark brown","green outline, tan, fluffy ears, smaller , more fur, facing left","floppy eared with grass around him , facing left side, green around him, standing in grass, face pointed upward , light brown, cocker spaniel",cocker spaniel
Card8,"other mean looking dog with black nose, pointy ears, some green around him, standing with back legs pointing outwards , pointing back and to right, boxer",scary junkyard dog with green outline whose feet are pointing back and to right,"garbage junkyard dog with feet pointing outwards, facing left",junkyard dog with pointy ears with feet pointing backwards
Card9,"husky, fluffy, sled dog",husky,husky,husky
Card10,little black Irish dog,little black Irish doggy,"little black Irish dog, on some grass",little black Irish doggy thing in grass
