FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"bloodhound, black at center of body, end's light brown","bloodhound, facin' to left, black body","bloodhound with black body, black center",bloodhound with black body
Card2,"terrier, head turned to left, looks stupid, light brown, tan, ears is shorter, snout long , standing up, little bit of black in middle of body","terrier, standin' up, head is just turned","terrier, tan lookin', head turned","terrier, with head to side"
Card3,"sittin' down, light brown, long ears, head is turn--.","long nose, light brown, tan, long ears, looking to left, sittin' down","tan, head turned, long tail","tan, with head to side"
Card4,"short, chocolatey",long hotdog lookin' black dog,"hotdog, black",black hotdog
Card5,black poodle,black poodle,black poodle,black poodle
Card6,Doberman pinscher,Doberman pinscher,Doberman,Doberman
Card7,"cocker spaniel, long ears, look girly","cocker spaniel, girly dog, feminine dog with long ears","cocker spaniel, girly looking","cocker spaniel, girly dog"
Card8,"boxer, mean, ears similar to Doberman pinscher's but tan, looks muscular, short snout","boxer, light brown, looks strong with black nose","boxer, muscular","muscular boxer, defense dog"
Card9,wolf,wolf,wolf,wolf
Card10,"Scottish terrier, black, short",black terrier looking,"Scottish terrier, black",black terrier
