FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"brown, with black in back","brown, with black back in middle",brown with black back,"black, brown"
Card2,"light brown, standing on three feet, turned in funny position",in funny position,in funny position,in funny position
Card3,beige with green background,beige,beige,beige
Card4,"dark brown, small, hotdog",black,"hotdog, black",hotdog
Card5,"poodle, black",poodle,poodle,poodle
Card6,"black, shiny fur",black with shiny fur,black with shiny fur,black with shiny fur
Card7,"golden retriever, brown",golden retriever,golden retriever,golden retriever
Card8,"I don't know if it's a bulldog, brown",on your left upper corner,bulldog,bulldog
Card9,wolf,wolf,wolf,wolf
Card10,black,black,"small, black","all the way on right--left hand corner, second row"
