FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"brown and black, standing up, profile shot, long tail","top row, third one from right",bloodhound,bloodhound
Card2,"top row, third one to right",the one that you thought was a cocker,Schnauzer,Schnauzer
Card3,looks like a Labrador,Labrador,Labrador,Labrador
Card4,Dachshund,"Dachshund, hotdog","Dachshund, hotdog",Dachshund
Card5,"poodle, black",poodle,poodle,poodle
Card6,Doberman,Doberman,Doberman,Doberman
Card7,cocker spaniel,cocker spaniel,cocker spaniel,cocker spaniel
Card8,"bulldog, pitbull, boxer",boxer,boxer,boxer
Card9,"Alaskan husky, wolf looking thing","wolf looking, wolf beast",wolf like thing,wolf like thing
Card10,Scottish terrier,Sottish terrier,"Scottish terrier, Scottie",Scottish terrier
