FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"standing upright, patch of black around stomach and back area, legs are more a camel color, orangish color, yellowish color towards tail, black tip on tail","black patch, first dog we looked at","first dog we ever looked at, black patch on stomach","first dog we looked at, black patch"
Card2,"furry, turning towards his butt, white legs, patch of black on his butt, looking at his tail, standing, black outline, yellow on bottom","looks like he's biting his butt, yellow outline at bottom, black on top","yellow bottom, black top","looks like he's biting his butt, yellow on bottom, black on top"
Card3,"sitting down, brown collar, surrounded by green, looking back at his tail","looking at his tail, sitting down, green outline","sitting down, looking towards, green outline","green outline, looks at his tail"
Card4,"really short, weiner","short, weiner",weiner,weiner
Card5,"poodle, all black, shiny collar thing, circular, silver color","poodle, black, circular thing on collar",circle thing on collar,poodle with circle thing on collar
Card6,"Doberman, shiny black, outlined in green","Doberman, shiny all over, black","Doberman, shiny all over, black","shiny black, Doberman"
Card7,"cocker spaniel, longish hair, looking up, grass around, ears are droopy, not high, brown fur, greenish background","brown hair, ears droop, cocker spaniel","cocker spaniel, tan color, droopy ears, curly hair, wavy, looks like human hair, small","cocker spaniel, looks like he has human hair"
Card8,"bulldog, legs look like he's digging into ground, puppy, sad face","sad puppy face, legs are digging into ground behind him, bulldog",bulldog,bulldog
Card9,"wolf dog, white tail",wolf,wolf,wolf
Card10,"short, beard, tail pointing up, all black","""the one that gave us trouble before"", beard, curly hair, black, ears pointing upwards, ""he was number ten""","""the one with the ears"", tail sticking up, black, short","little, furry, black, ears point up, tail points up"
