FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"on all fours, orangey type color, back legs, bottom look yellow, standing up straight, looking to left, middle part black","front part looks orange, middle part is black, back legs look yellow, standing",black middle part,"black coloring in middle, orange front"
Card2,"legs look really yellow, looking to left, standing up, top part looks orangey with a hint of yellow, bottom very yellow, not standing","looking to left, looks pretty yellow, bottom part especially yellow, body's facing towards right","body directed towards right, looking to left, yellowish color","yellowish, body pointed diagonally to right, head looking to left"
Card3,"body facing towards right, head looking to left, light brown color, edging around is green","body oriented towards right, head pointing to left, yellowish color, wearing collar","body oriented towards right, head looking to left","body facing right, head looking left"
Card4,"totally black, facing towards right, body","totally black, diagonal toward right","totally black, diagonal towards right","totally black, body diagonally oriented to right"
Card5,black poodle,black poodle wearing collar,black poodle wearing collar,"black poodle, wearing collar"
Card6,"totally black, standing up straight, looking to left","black, looking towards left, standing up real straight","standing straight up, black, looking straight to left","standing straight up, totally black, looking to left"
Card7,"facing to left, brown, blondish towards ears, long ears","brownish, blondish color, looking to left, long ears","brownish colored, long ears, looking to left, back leg stretched out diagonal, floppy ears","back leg stretched out, long, floppy ears, brownish color"
Card8,"looking to left, orangey yellow, back leg stretched out towards back","orangish yellow colored, back leg outstretched to back",back leg stretched out to back,"orangey yellow color, back leg stretched out"
Card9,"black and white, tongue sticking out","black and white, tongue sticking out","black and white, tongue sticking out, looking to left","black and white, tongue sticking out"
Card10,"totally black, looking to left, tail straight up","totally black, looking to left, tail pointing straight up","black, tail pointing straight up looking to left","totally black, tail pointing straight up looking to left"
