FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"big, brown, black, can see tail, face going to left, pointing to left","lot of black on back, ears pointing down, brown on legs","entire body pointing to left, brown, back is black","pointing to left, black back, rest is brown"
Card2,"brown, black, can see one flap, with ear, facing towards you, but turned to left","body pointing to right, head pointing to left","pointing to right, head looking to left",furry
Card3,"sitting down, collar, on green grass, light, tannish color, butt is on ground, tail laying on ground","sitting down, collar, body pointing to right, head pointing to left",sitting down,"pointing to right, face looking to left"
Card4,"small, dark brown, facing towards right, more diagonal set",hotdog,hotdog,hotdog
Card5,"poodle, collar, little circular thing in middle, pointing to right, but looking to left, black",poodle,poodle,poodle
Card6,"skinny, Doberman pincher, with chains","skinny, all black except little patch on nose, pointing other direction, tall, Doberman, no chains","skinny, shiny coat, black","black, shiny coat, skinny"
Card7,"furry, brown, pointing to left, small, lighter","brown, long droopy ears, whole entire body pointing to left","entire body pointing to left, very droopy ears, brown","droopy ears, pointing to left, brown"
Card8,"black mouth, face and eyes, but rest is brownish, yellowish, collar, pointing to left, ears sticking up","black face, light in color, has a chain, only things that are really dark are mouth area with eyes and ears, ears pointing up, looking to left","brown, all pointing to left, but black face, jumping","looks like it's about to jump, brown coat with black face"
Card9,"white, wolf",wolf,wolf,wolf
Card10,"black, really hairy, pointing to left","very hairy, small","that other black dog that's very furry, pointing to left","black, small, very furry, pointing to left, tail sticking straight up"
