FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"brown and black, long tail, facing left, short nose","short nose, black and brown, more black at top, in middle","first one on the first, second on the second, a lot of black, in middle","first on the first, second on the second , with black"
Card2,"facin' us but he is lookin' to right, curly hair, brown, twist up","hanging off stomach, a lotta hair all over, red brown, brown, a lot of yellow on bottom, long ears","a lot of yellow at bottom, head is turned","yellow background, lookin' to side, curly hair"
Card3,"brown, collar, big ears, squattin' down, tail is on floor","long tail, layin' on ground, brown, with collar, looks like he's chained to something, head is turned, big ears","tail laying on ground, brown","tail laying on ground, looking to side"
Card4,"long, hotdog, black or brown, big nose, looks alert, hind legs are back, straight back","black, curly hair, hotdog","hotdog, brown, long nose, big ears, looks like he doesn't even have legs, legs are really short","short, hotdog, short legs"
Card5,"curly hair, collar, with dog tag, black","black, curly hair, dog tag, with circular metal","black, with curly hair, with medal, with dog tag","black, curly hair, round dog tag"
Card6,"Doberman pinscher, black, looks greasy, brown feet","pinscher, looks greasy","black, Doberman, greasy","Doberman pinscher, black, looks like there's grease on 'im"
Card7,"long hair on belly, brown, big ears, long ears, pointin'","long ears, brown, lot of hair on belly","hairy belly, long ears, looks like somebody's itchin' it behind ears, head stickin' up, brown","long ears, hairy belly, brown"
Card8,"boxer, short nose, brown, pointy ears, back legs are lower than front legs, black collar on it with studs, black nose, hair is not curly","boxer, black nose, pointy ears, brown , lower than the front legs, legs are stickin' out the back","brown, black snout, ears stickin' up, short tail","brown, short nose, small tail, ears stickin' up, short tail"
Card9,"husky, white and black, tongue sticking out","Akita, black and white, tongue sticking out","black and white, tongue stickin' out, looks like a wolf, white and brown","black and white, tail sticking out"
Card10,"tail's sticking up, blackish brown, looks like it's got a beard on chin, back tail is curved","beard on chin, tail sticking up and back, ears are sticking up, small, a lotta hair","tail sticking up, beard, little short","hairy chin, tail stickin' up, short"
