FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"middle of dog is black, facing to your left, has little black tail, half is black","black in middle, legs look yellow and orange","looking to left, with black middle, black tail",with black middle and black little tail
Card2,"dog facing to your right, head turned to your left, yellow (grass)","turned to right, but looking back","looking to your right, turned back to your left, has yellowish background","with yellowish background, turned to left"
Card3,"green all around, brown, green outline","turned to right, but looking back to left","looking to your right, but turned back to left in grass",sitting in grass with head turned to your left
Card4,"little, wiener, black, no background, short, brown","by itself, little, short, black, brown","little, black, brownish, with no back- ground, short","black, brownish, little, short"
Card5,"black, furry, has collar around neck, circle color","has collar, collar with circle on it, name tag","has collar around it, black","with circle collar, with name tag"
Card6,"dog that Snoop Dog has in his video, skinny ,black","black, skinny, in Snoop video","black, skinny","skinny, black"
Card7,"golden retriever, gold, has long ears, facing upwards to the left, laying on grass or something","laying on grass, with long ear on side","sitting in grass, with long ear, looks like it's lyin' down",sitting in grass with long ear on side
Card8,"black nose, mean, both of the ears are sticking up, it's running","has both of his ears standing up, black nose, around the eyes, looks like it's running",looks like it's running,"the running dog, looks like it's running"
Card9,"the only white dog, with a grayish--.",white,white,white
Card10,"old lookin', sittin' in grass","old lookin', sittin' in grass","old lookin', sittin' in grass","old, sittin' on grass"
