FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"on bottom row, second to your left",black and golden,"big, black and brown","big, brown and black"
Card2,"sheep dog, scraggly hair, light color, golden","scruffy, golden","scruffy, golden","scruffy, golden"
Card3,"golden lab, sitting down","golden lab, sitting down",golden lab,lab
Card4,wiener dog,wiener dog,wiener dog,wiener dog
Card5,black poodle,black poodle,black poodle,black poodle
Card6,Doberman pinscher,Doberman pinscher,Doberman,Doberman
Card7,"golden colored, with really long ears, floppy ears","floppy eared, golden","golden, floppy eared",floppy ear
Card8,[Missing Data],boxer,boxer,boxer
Card9,"husky, white",husky,husky,husky
Card10,looks like Toto from Wizard of Oz,Toto,Toto,Toto
