FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"black at bottom, tail pointing to floor",tail pointed to floor,"tail pointin' towards ground, black tail","black tail, pointin'"
Card2,"fur, brown","body going right, head turned left",you can't see its tail,you can't see its tail
Card3,"light light brown color, head is turning, skinny","head turning to left, has chain","head turned towards left, pointy tail","brownish, whitish, something around its neck, pointy tail"
Card4,"really short, black, sausage, hotdog, long","really short, long, black",really short and long and black,"black, short and long"
Card5,"something around its neck, fur, black, cute","chain around its neck, little high top black, cute","cute, with chain around its neck","pretty, with chain around its neck, black"
Card6,"really mean lookin', black, pitbull, security dog","mean looking, really black, security",security dog,security dog
Card7,"really pretty, brownish, lookin' up, look like it's on grass","pretty, brownish, sittin' on grass, lookin' up","pretty, head looking towards left side and its foot's left side, green grass","pretty with pretty fur, brown"
Card8,"mean looking, chain around its neck","mean looking, not security one, brown","mean looking, brown, with chain on neck","mean, with chain around its neck, brown"
Card9,"white, wolf, tongue stickin' out","wolf, tongue is sticking out",wolf,wolf
Card10,"short and black, face on left hand side","sitting on grass, head towards left side, tail is sticking up, black","black, short tail, going up","sitting on floor, tail is sticking up at back, black"
