FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"standing on all fours, tan, black, black belly, black in middle","black, black tummy, tan all over, standing on all fours","black in middle of stomach, on all fours, facing left","on all fours, black in stomach"
Card2,"sheepy, wooly fur, standing on all fours, facing the way, tannish, facing us, head turned","weird looking, that we didn't get last time","weird, we can never get","freaky looking, we can never get"
Card3,"golden retriever, sitting down on back two legs, looking left","golden retriever, sitting on back two legs","golden retriever, on back two legs",looks like golden retriever
Card4,little black hotdog,"hotdog, little, black",tiny little hotdog,tiny hotdog
Card5,"poodle, little brown, black, collar","poodle, black",little black poodle,little black poodle
Card6,"black, Rotweiler","black, Rotweiler",black Rotweiler,black Rotweiler
Card7,cocker spaniel,cocker spaniel,cocker spaniel,cocker spaniel
Card8,"bulldogs, black face, all tan",bulldog with black nose,bulldog with black nose,bulldog with black nose
Card9,"wolf, white","white, wolfish",white wolf,white wolf
Card10,"little, Scottie",Lady and the Tramp,"little, Scottie, Lady and the Tramp","black, Lady and the Tramp"
