FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"facing to left, golden colored, black area in middle, long ears","very short, middle area is very black, legs are golden, very short black nose , very long ears, long tail, looking to left","brown patch in center, body and head are both looking nine o'clock","body has black area, black patch in middle of body"
Card2,"left leg is ready to pounce on somebody, it's not facing all the way to left, it's facing more eight o'clock, has much shorter ears, it's golden, only his head is facing eight o' clock, everything else is facing out","it's looking something between eight and nine o'clock, its hind legs look like it's gonna go somewhere, it's orange, gold colored, middle area is black","golden colored, very short ears, hind legs are on left side, looks like it's about ready to run to something","golden, short neck, very small ears, hind legs are higher than rest of body, looks like it's about to go somewhere, hind legs are on left side of body"
Card3,"with longer ears, has more of a yellowish color, very light golden, facing to left, it's sitting down, has little belt on neck","long dark ears, looking to left, sitting on grass, body's faced towards four o'clock but head is towards nine o'clock, body's golden, collar is on neck","golden, ears a little bit darker than rest of body, body's looking five, head is looking eight, nose is black, has collar on neck, body's on ground but rest of body's up, medium sized tail that's on ground, tail's on bottom on left side","has collar on neck, body's facing five, head is facing seven or eight, golden colored, tail on bottom left, on grass"
Card4,"very small, facing four or five o'clock, black colored","looking toward five o'clock, very small , black","petite, body and head both at five o'clock","black, small, facing five o'clock"
Card5,"shaggy looking, black, very petite, facing seven o'clock but just the head, body's facing five o'clock","small, looks like it has hairdo, long ears, left and right, black, has little golden circular chain attached to neck, looking at eight o'clock","head: seven o'clock, body: five o'clock, black, small, circular chain","small, circular chain on neck"
Card6,"looks like Doberman, facing to left, black colored, little orange streak on nose","black dog, with orange streak near nose, very thin legs, looking to left","black, thin legs, body and head both looking to left","Doberman, black, with thin legs"
Card7,"looks like it's lying down on floor, it's also golden, ears are a lot lighter than rest of body, facing to left","looks like it's lying down, ears are lighter than rest of body, looks like it's on grass","lying in grass, golden, light colored ears","lying on grass, ears are lighter than rest of body, facing to left"
Card8,"facing to left, nose area and mouth is black, very short ears, looks like it's about to run, ears are sticking up","looking to left, black nose, golden colored, ready to pounce, very short ears, hind legs ready to run towards something, body and everything are aligned, very short tail","short ears, ready to pounce, black nose and mouth, golden","looks like bulldog, ready to go all the way to left, golden, black nose, like it's running"
Card9,"white colored, looks like wolf, facing seven o' clock",looks like wolf,wolf,wolf
Card10,"looks like very old dog, sitting down, black, looking to left, very short ears","shaggy, it looks old, short ears, medium sized tail, looking to left, body and face both, on grass","small, black body and head both nine o' clock, medium sized tail, sitting down on grass","small black, looks old, medium tail, on grass, whole body's facing nine o' clock"
