FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"facing sideways, tail showing, orange brown, black inner, shadow's black, on its back, tongue sticking out, tail going down, both legs orange, totally to side, left side","tongue sticking out, black shadow on top but orange, facing to left","tongue sticking out, black shadow, orange back, orange legs",tongue sticking out
Card2,"body towards front right, face towards left, face turning, orange, black shadow going through, not with green background, doesn't have leash, form field","body towards right, head towards left, orange in back","orange background, head turned","golden background, head turned"
Card3,"same position as other dog, but green background, leash","leash, body towards right, head towards left, in grass","body towards right, head towards left, leash, green background","leash, head turned, green background"
Card4,"brown, facing to right, doesn't have leash, very small, don't know if it's poodle, long nose, long ears, big","poodle, droopy ears, long nose, long ears","long nose, black",long nose
Card5,"poodle, golden necklace, circle","golden necklace, leash, circle",circle,circle
Card6,"Labrador, very tall, black, facing to left","Labrador, very tall, black, facing to left","black, tall","black, tall"
Card7,"facing towards left, Lassie, very hairy, brownish","Lassie, facing towards left, hair","hairy, facing to left, Lassie",Lassie
Card8,"bulldog, with chain, facing towards left, chain around neck","bulldog, with chain","bulldog, with chain","bulldog, with leash"
Card9,"wolf, snow","snow, fox","fox, snow, wolf",snow fox
Card10,"mustache, facing towards left, black, tiny, in grass","wooshy, mustache, tail sticking up",mustache,mustache
