FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"bloodhound, brown legs, black in middle","bloodhound, black, gray legs","brown legs, black","brown legs, black on stomach"
Card2,"brown, looking towards back or side",looking back again,looking towards back,looking to side
Card3,"sitting, looking back, really light brown","gray, sitting again, on green grass, looking back or to side","light brown, looking back","light brown, looking to side"
Card4,"black, standing, looking forward, you see it from top",black,"black, viewed from top, picture's taken from top","black, little, long, taken from top"
Card5,poodle,poodle,poodle,poodle
Card6,Doberman,Doberman,Doberman,Doberman
Card7,"cocker spaniel, brown",cocker spaniel,cocker spaniel,cocker spaniel
Card8,"bulldog, boxer",boxer,boxer,boxer
Card9,"white, gray, Siberian husky",white,husky,husky
Card10,"black, little mustache","black, you're seeing it from side","from side view, looking straight, picture from side, looking straight forward, black","black again, picture's taken from side view"
