FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"tan and black, facing to left","black on belly, but legs are brown, black nose","black stomach, tan legs",black stomach
Card2,"tan and black, in a weird position, looking over shoulder","weird position, looking over shoulder, terrier",terrier,terrier
Card3,"tan, looking to left, floppy ears","tan, looking over shoulder to left, floppy ears","looking over shoulder to the left, tan, floppy ears",floppy ears
Card4,"dark brown, facing to right, hotdog",hotdog,hotdog,"hotdog, facing to left"
Card5,black poodle,black poodle,poodle,poodle
Card6,"Doberman, facing to left",Doberman,Doberman,Doberman
Card7,"golden retriever, facing to left",golden retriever,golden retriever,golden retriever
Card8,"black snout, but it's tan, the rest of it","black snout, tan",black nose,black nose and tan body
Card9,"looks like a wolf, white and black",wolf looking,wolf looking,wolf
Card10,"small, black with long hair","little, black with hair down to floor",black with hair down to floor,black with hair down to floor
